,Customer ID,Senior Citizen,Partner,Dependents,Tenure,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn,City,Age,Married,Number of Referrals,Tenure in Months,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Premium Tech Support,Unlimited Data,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Satisfaction Score,Senior_Citizen_Numeric,Total_Services,Service_Value,Customer_Segment,Churn Predicted
10,9763-GRSKD,No,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,Los Angeles,37,Yes,1,13,29.68,22,No,No,0.0,150,385.84,3,0,2,0.04004004004004004,Regular,0
11,7469-LKBCI,No,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,No,Los Angeles,21,No,0,16,32.62,0,No,No,0.0,0,521.92,3,0,1,0.052770448548812667,Regular,0
12,8091-TTVAX,No,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,Los Angeles,39,Yes,7,58,5.69,10,No,Yes,0.0,0,330.02000000000004,3,0,5,0.04982561036372696,VIP,0
13,0280-XJGEX,No,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,Los Angeles,38,No,0,49,44.33,11,No,Yes,0.0,0,2172.17,1,0,6,0.05785920925747348,VIP,1
14,5129-JLPIS,No,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,Los Angeles,27,No,0,25,10.4,48,Yes,Yes,0.0,0,260.0,3,0,6,0.05687203791469194,Established,0
15,3655-SNQYZ,No,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,Los Angeles,48,Yes,7,69,33.23,3,Yes,Yes,0.0,0,2292.87,4,0,8,0.0706401766004415,VIP,0
16,8191-XWSZG,No,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,No,Los Angeles,57,No,0,52,22.55,0,No,No,0.0,0,1172.6000000000001,4,0,1,0.04842615012106538,VIP,0
17,9959-WOFKT,No,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,Los Angeles,61,No,0,71,14.67,7,No,Yes,0.0,0,1041.57,3,0,6,0.056232427366447985,VIP,0
18,4190-MFLUW,No,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,Los Angeles,21,Yes,6,10,9.41,69,Yes,Yes,0.0,0,94.1,1,0,3,0.05434782608695652,New,1
19,4183-MYFRB,No,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,Los Angeles,30,No,0,21,6.49,73,No,No,0.0,30,136.29,3,0,4,0.04441976679622432,Regular,0
20,8779-QRDMV,Yes,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,Los Angeles,78,No,0,1,0.0,8,No,No,0.0,20,0.0,3,1,2,0.05044136191677175,New,1
21,1680-VDCWW,No,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,No,Los Angeles,45,Yes,10,12,11.04,0,No,No,0.0,0,132.48,4,0,1,0.050505050505050504,New,0
22,1066-JKSGK,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,Los Angeles,29,No,0,1,33.58,0,No,No,0.0,0,33.58,1,0,1,0.04962779156327544,New,1
23,3638-WEABW,No,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,Los Angeles,25,Yes,1,58,48.98,76,Yes,Yes,0.0,0,2840.8399999999997,3,0,4,0.0667779632721202,VIP,0
24,6322-HRPFA,No,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,Los Angeles,42,Yes,3,49,5.29,30,Yes,Yes,0.0,0,259.21,3,0,4,0.06711409395973154,VIP,0
25,6865-JZNKO,No,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,Los Angeles,25,No,0,30,19.41,27,No,Yes,0.0,0,582.3,4,0,3,0.054249547920434,Established,0
26,6467-CHFZW,No,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,Los Angeles,61,Yes,1,47,31.35,16,No,Yes,0.0,0,1473.45,1,0,5,0.050327126321087066,Loyal,1
27,8665-UTDHZ,No,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,Los Angeles,27,Yes,1,1,0.0,58,No,Yes,0.0,0,0.0,1,0,1,0.033112582781456956,New,1
28,5248-YGIJN,No,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,Los Angeles,36,Yes,9,72,10.92,28,Yes,Yes,0.0,0,786.24,3,0,8,0.0886426592797784,VIP,0
29,8773-HHUOZ,No,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,Los Angeles,20,No,0,17,40.55,41,No,Yes,0.0,0,689.3499999999999,1,0,3,0.0463678516228748,Regular,1
30,3841-NFECX,Yes,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,Los Angeles,69,Yes,3,71,47.02,12,Yes,Yes,0.0,0,3338.42,4,1,6,0.06227296315516347,VIP,0
31,4929-XIHVW,Yes,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,Los Angeles,79,Yes,10,2,33.1,11,No,No,0.0,10,66.2,5,1,4,0.041884816753926704,New,0
32,6827-IEAUQ,No,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,Los Angeles,46,Yes,5,27,40.21,13,Yes,Yes,0.0,0,1085.67,3,0,5,0.07558578987150415,Established,0
33,7310-EGVHZ,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,Los Angeles,35,No,0,1,24.48,0,No,No,0.0,0,24.48,5,0,1,0.04950495049504951,New,0
34,3413-BMNZE,Yes,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,Los Angeles,71,No,0,1,11.89,12,No,Yes,0.0,0,11.89,3,1,1,0.022099447513812154,New,1
35,6234-RAAPL,No,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No,Los Angeles,60,Yes,7,72,23.66,26,Yes,Yes,0.0,0,1703.52,4,0,6,0.06006006006006006,VIP,0
36,6047-YHPVI,No,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,Los Angeles,56,No,0,5,12.6,58,No,Yes,0.0,0,63.0,1,0,1,0.014347202295552367,New,1
37,6572-ADKRS,No,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,Los Angeles,19,No,0,46,42.44,69,No,Yes,0.0,0,1952.2399999999998,3,0,2,0.026737967914438502,Loyal,0
38,5380-WJKOV,No,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,Los Angeles,51,No,0,34,21.69,28,No,Yes,0.0,0,737.46,2,0,6,0.056417489421720736,Established,1
39,8168-UQWWF,No,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,Los Angeles,48,No,0,11,27.57,18,No,Yes,0.0,0,303.27,3,0,5,0.0510986203372509,New,1
40,8865-TNMNX,No,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,No,Los Angeles,53,Yes,6,10,26.17,7,No,Yes,0.0,0,261.70000000000005,3,0,2,0.04036326942482341,New,0
41,9489-DEDVP,No,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No,Los Angeles,52,Yes,8,70,29.38,23,No,No,0.0,80,2056.6,3,0,5,0.0722543352601156,VIP,0
42,9867-JCZSP,No,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,No,Los Angeles,28,Yes,8,17,8.74,0,No,No,0.0,0,148.58,4,0,1,0.04819277108433735,Regular,0
43,4671-VJLCL,No,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,Los Angeles,36,No,0,63,12.82,17,Yes,Yes,0.0,0,807.66,3,0,7,0.08766437069505323,VIP,0
44,4080-IIARD,No,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No,Los Angeles,42,Yes,1,13,11.79,29,Yes,Yes,0.0,0,153.26999999999998,5,0,6,0.07874015748031496,Regular,0
45,3714-NTNFO,No,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,Los Angeles,49,No,0,49,27.2,24,No,Yes,0.0,0,1332.8,5,0,3,0.03550295857988166,VIP,0
46,5948-UJZLF,No,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,No,Los Angeles,22,No,0,2,40.75,71,No,Yes,0.0,0,81.5,5,0,2,0.04060913705583756,New,0
47,7760-OYPDY,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,Los Angeles,32,No,0,2,5.85,19,No,No,0.0,20,11.7,1,0,2,0.02479851208927464,New,1
48,7639-LIAYI,No,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,Los Angeles,23,No,0,52,29.16,73,Yes,Yes,0.0,0,1516.32,4,0,6,0.07523510971786834,VIP,0
49,2954-PIBKO,No,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No,Los Angeles,64,Yes,7,69,39.88,17,Yes,No,0.0,40,2751.7200000000003,3,0,5,0.0779423226812159,VIP,0
50,8012-SOUDQ,Yes,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No,Los Angeles,65,No,0,43,12.58,26,No,Yes,0.0,0,540.94,4,1,4,0.0443213296398892,Loyal,0
51,9420-LOJKX,No,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,Los Angeles,34,No,0,15,3.96,20,No,Yes,0.0,0,59.4,1,0,5,0.050454086781029264,Regular,1
52,6575-SUVOI,Yes,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,Los Angeles,65,Yes,9,25,30.6,2,Yes,Yes,0.0,0,765.0,4,1,5,0.07194244604316546,Established,0
53,7495-OOKFY,Yes,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,Los Angeles,74,Yes,1,8,48.85,17,No,Yes,0.0,0,390.8,3,1,3,0.037197768133911964,New,1
54,4667-QONEA,Yes,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,Los Angeles,72,Yes,9,60,48.9,16,Yes,Yes,0.0,0,2934.0,3,1,6,0.08016032064128258,VIP,0
55,1658-BYGOY,Yes,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,Los Angeles,71,No,0,18,11.33,52,No,Yes,45.61,0,203.94,2,1,4,0.041906757464641176,Regular,1
56,8769-KKTPH,No,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,Los Angeles,44,Yes,2,63,1.43,16,No,Yes,0.0,0,90.08999999999999,3,0,5,0.050175614651279475,VIP,0
57,5067-XJQFU,Yes,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No,Los Angeles,77,Yes,3,66,21.79,9,Yes,Yes,0.0,0,1438.1399999999999,5,1,7,0.06454587367450437,VIP,0
58,3957-SQXML,No,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,No,Los Angeles,61,Yes,10,34,25.21,0,No,No,0.0,0,857.14,3,0,2,0.08016032064128256,Established,0
59,5954-BDFSG,No,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,West Hollywood,40,No,0,72,9.47,21,Yes,No,0.0,60,681.84,3,0,6,0.05581395348837209,VIP,0
60,0434-CSFON,No,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,Los Angeles,34,Yes,3,47,38.15,14,No,Yes,0.0,0,1793.05,3,0,5,0.04975124378109453,Loyal,0
61,1215-FIGMP,No,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,Los Angeles,27,No,0,60,42.88,52,No,Yes,0.0,0,2572.8,3,0,4,0.04449388209121245,VIP,0
62,0526-SXDJP,No,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,No,Bell,36,Yes,7,72,0.0,17,No,Yes,0.0,0,0.0,4,0,3,0.07125890736342043,VIP,0
63,0557-ASKVU,No,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No,Beverly Hills,43,Yes,2,18,44.97,7,Yes,Yes,0.0,0,809.46,5,0,3,0.05514705882352941,Regular,0
64,5698-BQJOH,No,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,Beverly Hills,41,No,0,9,27.21,29,No,Yes,0.0,0,244.89000000000001,3,0,4,0.0423728813559322,New,1
65,5122-CYFXA,No,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,Beverly Hills,53,No,0,3,38.99,20,Yes,Yes,0.0,0,116.97,3,0,5,0.06640106241699867,New,0
66,8627-ZYGSZ,No,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No,Compton,32,Yes,8,47,39.52,30,No,Yes,0.0,0,1857.44,5,0,3,0.03802281368821293,Loyal,0
67,3410-YOQBQ,No,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No,Compton,61,No,0,31,25.57,27,Yes,No,0.0,70,792.67,5,0,6,0.07575757575757576,Established,0
68,3170-NMYVV,No,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,No,Compton,37,Yes,5,50,26.95,0,No,No,0.0,0,1347.5,4,0,1,0.04962779156327544,VIP,0
69,7410-OIEDU,No,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,No,Culver City,29,No,0,10,48.38,42,No,Yes,0.0,0,483.8,3,0,3,0.037570444583594244,New,0
70,2273-QCKXA,No,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,No,Culver City,39,No,0,1,25.77,5,Yes,Yes,0.0,0,25.77,3,0,2,0.040774719673802244,New,0
71,0731-EBJQB,No,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,No,Downey,24,Yes,3,52,5.65,0,No,No,0.0,0,293.8,3,0,1,0.04901960784313726,VIP,0
72,1891-QRQSA,Yes,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,No,Downey,71,Yes,9,64,16.33,10,Yes,Yes,0.0,0,1045.12,4,1,7,0.06272401433691757,VIP,0
73,8028-PNXHQ,No,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,Downey,40,Yes,4,62,48.73,0,No,No,0.0,0,3021.2599999999998,5,0,2,0.08247422680412371,VIP,0
74,5630-AHZIL,No,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,El Segundo,51,No,0,3,39.55,56,Yes,No,0.0,60,118.64999999999999,3,0,4,0.06201550387596899,New,0
75,2673-CXQEU,Yes,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,No,Gardena,73,No,0,56,47.13,29,No,Yes,0.0,0,2639.28,4,1,7,0.06334841628959276,VIP,0
76,6416-JNVRK,No,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,Gardena,50,No,0,46,2.03,7,No,Yes,0.0,0,93.38,5,0,2,0.03593890386343217,Loyal,0
77,5590-ZSKRV,No,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,No,Gardena,62,Yes,1,8,38.78,18,No,Yes,0.0,0,310.24,3,0,3,0.05489478499542544,New,0
78,0191-ZHSKZ,Yes,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No,Hawthorne,80,No,0,30,38.61,5,No,Yes,0.0,0,1158.3,4,1,5,0.06688963210702341,Established,0
79,3887-PBQAO,No,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,No,Hermosa Beach,48,Yes,4,45,22.49,0,No,No,0.0,0,1012.05,4,0,2,0.07722007722007722,Loyal,0
80,5919-TMRGD,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,Huntington Park,32,No,0,1,13.13,57,No,Yes,0.0,0,13.13,1,0,2,0.025204788909892882,New,1
81,8108-UXRQN,No,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,No,Lawndale,23,Yes,1,11,0.0,41,No,Yes,0.0,0,0.0,3,0,3,0.05934718100890208,New,0
82,9191-MYQKX,No,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,Lynwood,34,Yes,1,7,8.69,53,No,Yes,0.0,0,60.83,1,0,2,0.02661343978709248,New,1
83,9919-YLNNG,No,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,Malibu,38,No,0,42,40.15,28,Yes,No,0.0,110,1686.3,4,0,6,0.057803468208092484,Loyal,0
84,0318-ZOPWS,No,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,Malibu,31,Yes,10,49,2.82,0,No,No,0.0,0,138.17999999999998,5,0,1,0.04962779156327544,VIP,0
85,4445-ZJNMU,No,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,Manhattan Beach,30,No,0,9,4.81,69,No,Yes,0.0,0,43.29,3,0,5,0.050352467270896276,New,0
86,4808-YNLEU,No,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,Maywood,51,Yes,1,35,24.53,30,No,Yes,0.0,0,858.5500000000001,4,0,3,0.04827031375703942,Established,0
87,1862-QRWPE,No,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,No,Pacific Palisades,24,Yes,10,48,37.96,0,No,No,0.0,0,1822.08,5,0,1,0.04842615012106538,Loyal,0
88,2796-NNUFI,No,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,No,Palos Verdes Peninsula,56,Yes,1,46,30.47,0,No,No,0.0,0,1401.62,5,0,1,0.050125313283208024,Loyal,0
89,3016-KSVCP,No,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,No,Rancho Palos Verdes,47,Yes,4,29,0.0,22,No,Yes,0.0,0,0.0,3,0,1,0.02962962962962963,Established,0
90,4767-HZZHQ,No,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No,Redondo Beach,32,Yes,5,30,6.19,21,No,No,0.0,120,185.70000000000002,3,0,3,0.03656307129798903,Established,0
91,2424-WVHPL,Yes,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,No,Redondo Beach,79,No,0,1,27.65,2,Yes,Yes,0.0,0,27.65,5,1,2,0.02677376171352075,New,0
92,7233-PAHHL,No,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,No,South Gate,57,Yes,0,66,6.22,26,Yes,Yes,0.0,0,410.52,4,0,7,0.08333333333333333,VIP,0
93,6067-NGCEU,No,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,No,Topanga,50,No,0,65,41.78,14,No,Yes,0.0,0,2715.7000000000003,4,0,7,0.0630346690679874,VIP,0
94,9848-JQJTX,No,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No,Venice,52,No,0,72,24.53,12,No,Yes,0.0,0,1766.16,3,0,6,0.05946481665014866,VIP,0
95,8637-XJIVR,No,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,Marina Del Rey,34,No,0,12,25.34,56,No,No,0.0,80,304.08,1,0,3,0.03799873337555415,New,1
